"_created_at",_id,_tombstone,_updated_at,appIdentifier,appName,appVersion,badge,channels.0,channels.1,deviceToken,deviceTokenLastModified,deviceType,installationId,localeIdentifier,parseVersion,pushType,timeZone
2016-12-14T04:47:03.953Z,02E8ZkTRp3,,2016-12-14T04:47:04.772Z,com.nieu.skola.colegiodelangel,Colegio del Ángel,1.14,,,,APA91bEJtlTTOBLoPKU17trWJiEnaB8BwrUOk8s2a9Gq7vU4anpZwwcymsoJv-krI8WCpeUpU8R7_Yi-Cq3LiFGTFz1y0sKH671IFX_sOf7E8TsBxJ1lxb-aKpX7fYwIS_cj2yJYvTpC,1481681567000,android,bac1c75e-b11e-41fb-b700-14d37862261e,,1.8.2,gcm,America/Mexico_City
2017-02-03T18:40:07.530Z,09jVdBKCOw,,2017-02-03T18:40:07.530Z,mx.nieu.Colegio-del-A-ngel,Colegio del Ángel,3.1.6,0,,,6ddd980ea7c6fa756c2b133f3f34dd9a0f9e107a92666137dfaa8182fe75e4d1,,ios,e3db4404-6992-4f33-8ca8-245b85b2641f,es-MX,1.14.2,,America/Tijuana
2016-08-01T07:48:07.215Z,0DSUnk26Bu,,2016-08-01T07:48:07.215Z,com.nieu.skola.colegiodelangel,Colegio del Ángel,1.14,,,,,,android,0667181a-5dc0-49d2-b1d5-315164bc27f0,,1.8.2,,Etc/Zulu
2016-11-30T20:10:58.411Z,0EjJubyGRT,,2016-11-30T20:11:04.910Z,com.nieu.skola.colegiodelangel,Colegio del Ángel,1.14,,user_g0bEXnk97K,,APA91bEJX3Hgy--cfCybeHUG14DfD0BiUytNYfkGAslCrXjrRM_R3FHbmAdiP94NFI_xpIEmy-4xl_44ZXQsAms12u_J3hqjuPAqhawW_sRaFUUYl7LP16EyNPHAo0cNTAvS9SiKLFwe,1480534426000,android,c16add9a-a969-4fbd-be23-9bc6f4b4a84c,,1.8.2,gcm,America/Mexico_City
2015-12-03T22:36:28.681Z,0FZh7XUNM9,,2016-06-06T13:42:34.482Z,com.nieu.skola.colegiodelangel,Colegio del Ángel,1.12,,user_6FjwgJhsB7,,APA91bF0WERximPUBDh_DwcS2BO2DH5hS-9WPwy6lHEyqAyZ2Ic0O0nhiv7r4eMz_99E6PLjyN5dmXhSsrx_BxWfCcJkLUWavYLCF_5VYduh_n0JIVrcHY-v6sdcIY8lnWZMtNSjowlc,1449182133000,android,37d41192-d685-4d4f-a98a-d1d2f2f80cbd,,1.8.2,gcm,America/Mexico_City
2016-11-28T00:48:03.684Z,0NGq5UM5kF,,2016-11-28T00:48:19.566Z,com.nieu.skola.colegiodelangel,Colegio del Ángel,1.14,,user_rknl5XUafU,,APA91bGe_5FzlzjQ0-wdemwtYPt42IYW1N8PfUPHhjupCHFh31H-Dy1wx_v1dHWrCnO7rxsQ68tlTLeRI-MArmO9V08a_J5-cRD-rzXohW1c0rYNBRjbtV9yUaY6sjPnOONEJQUeSiDj,1480294076000,android,9cdda71b-ebb7-4fe3-926b-0d94451caaa3,,1.8.2,gcm,America/Mexico_City
2016-08-20T04:14:58.874Z,0P7bqHn5Sh,,2016-09-25T01:28:30.756Z,com.nieu.skola.colegiodelangel,Colegio del Ángel,1.14,,user_ZuGXxZk1sk,,APA91bG0fCGdMeBPqPmyKdlpPPSYV2M8zcQSU8CaSvKDyhlDQdtAdqdfr00rwTKTaNnuwGb73_AaVcDcumhq5SnrnuDfaCM8Ka7Na18_Xu6oG97AzQ4ZohRx-gnHpV1nsNRrZYKT9gjg,1471666484000,android,8154de9c-24b8-4968-8d91-28f28067f524,,1.8.2,gcm,America/Mexico_City
2015-12-09T04:45:36.565Z,0PMV1NCeq9,2016-01-22T00:05:36.487Z,2016-01-22T00:05:36.487Z,com.nieu.skola.colegiodelangel,Colegio del Ángel,1.12,,admin,,APA91bHFYt-1Nw0DjV7Ex5MQCq3WZtiTzTDiinH3yxIMO-5cDwZ_9Uq0EgABd3ExjTacbW-40cZ_ZiNo1sShziL83Gt5T8SIAbzSM3UnDYc0djARQ_PGhZonA1T8uYV2hgVJrXVm-vMc,1449636307000,android,52116d9e-22e7-46c3-987a-8ed52c17d083,,1.8.2,gcm,Asia/Calcutta
2017-01-31T04:11:30.865Z,0QCZM1nTnV,,2017-01-31T04:11:30.865Z,mx.nieu.Colegio-del-A-ngel,Colegio del Ángel,3.1.5,0,,,dfd185749ee96d4b3f13181d83aba54f3fd8da81d8d61ef2ce3a78f2dcfec9f8,,ios,b8cebd09-35ab-4670-a47d-1369dd43cc74,es-MX,1.14.2,,America/Mexico_City
2015-11-13T20:38:19.249Z,0ZqiGxtwkd,,2016-11-09T04:28:09.291Z,mx.nieu.Colegio-del-A-ngel,Colegio del Ángel,1.6,0,,,2aeb8943459f8e907948131da572d8a8e4c790d99ea2f4ec43814306d93cfd81,,ios,ee12c65a-0f92-4b78-a467-129fb87d59a2,es-MX,1.9.1,,America/Mexico_City
